index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck3_r1-p024.smt2,,,3,4,4,10,9,17,53,,31,22,31,26,,,131.98,17.27,timeout,0.53,0.01,,0.00,,0.01,0.31,0.24,,,0.00,,0.01,0.38,0.06,0.31,0.02,0.14,
array-dblclockfft_butterfly_ck3_r1-p030.smt2,,,1,3,3,6,4,9,15,,17,13,5,13,,,131.98,13.96,timeout,0.25,0.00,,0.00,,0.00,0.10,0.07,,,0.00,,0.00,0.12,0.02,0.10,0.01,0.04,
array-dblclockfft_butterfly_ck3_r1-p047.smt2,,,,21,20,333,259,98,3151,22,496,462,1611,479,,,881.16,856.19,timeout,899.98,2.57,0.10,1.31,0.10,0.62,739.75,701.28,,1.50,0.01,0.01,2.04,755.84,200.00,555.78,3.76,445.36,
array-dblclockfft_butterfly_ck3_r1-p049.smt2,,,,24,23,217,315,41,2155,,517,474,880,494,,,1229.54,1065.00,timeout,899.98,1.00,0.05,0.53,0.07,0.23,155.45,111.49,,0.42,0.03,0.03,0.92,161.70,42.76,118.87,1.78,94.59,
array-dblclockfft_butterfly_ck3_r1-p054.smt2,,,,19,18,209,188,47,1278,2,374,339,519,355,,,616.35,589.73,timeout,899.97,0.47,0.02,0.21,0.03,0.14,79.48,73.51,,0.20,0.00,,0.38,82.46,13.03,69.37,0.96,58.16,
array-dblclockfft_butterfly_ck3_r1-p059.smt2,,,,12,11,267,82,101,498,28,326,305,95,314,,,4379.78,1910.16,timeout,899.97,85.98,3.34,68.84,1.47,11.91,588.42,276.19,,0.14,0.01,0.01,1.71,680.30,42.19,638.07,2.74,245.89,
array-dblclockfft_butterfly_ck3_r1-p086.smt2,,,,18,17,312,86,107,2380,4,448,423,1357,438,,,1868.27,1766.27,timeout,899.97,9.55,0.32,6.15,0.23,1.00,799.41,536.25,,0.73,0.01,0.01,3.65,821.25,340.88,480.32,5.34,412.83,
array-dblclockfft_butterfly_ck3_r1-p119.smt2,,,,20,19,295,116,126,2641,10,449,414,1434,430,,,959.05,901.34,timeout,899.98,2.30,0.10,1.25,0.09,0.54,838.30,801.96,,0.97,0.01,0.01,2.53,854.91,330.00,524.85,4.38,429.18,
array-dblclockfft_butterfly_ck3_r1-p127.smt2,,,8,8,8,111,58,98,606,2,208,190,331,199,,,396.56,371.07,timeout,93.39,5.77,0.31,4.24,0.20,0.85,84.48,68.90,,0.10,0.01,0.01,0.47,92.30,10.70,81.58,0.86,55.73,
array-dblclockfft_butterfly_ck3_r1-p137.smt2,,,6,7,7,72,30,53,150,2,110,92,27,102,,,565.21,543.06,timeout,43.93,0.12,0.01,0.05,0.01,0.04,42.87,41.77,,0.02,0.01,0.01,0.15,43.57,1.35,42.20,0.28,39.83,
array-dblclockfft_butterfly_ck3_r1-p145.smt2,,,5,7,7,42,39,42,109,10,81,64,14,73,,,151.42,143.28,timeout,10.25,0.11,0.01,0.05,0.01,0.04,9.55,9.05,,0.01,0.01,0.01,0.07,9.97,1.19,8.76,0.14,5.26,
array-dblclockfft_butterfly_ck3_r1-p157.smt2,,,,12,11,393,29,203,415,2,453,431,49,441,,,1927.42,1781.04,timeout,899.98,2.78,0.09,1.76,0.08,0.57,518.65,298.01,,0.11,0.01,0.01,1.80,528.10,222.96,305.11,3.31,246.32,
array-dblclockfft_butterfly_ck3_r1-p159.smt2,,,,12,11,338,83,124,1116,26,423,384,295,411,,,3580.40,1642.44,timeout,899.97,93.58,2.69,83.91,1.23,5.88,448.14,262.87,,0.55,0.01,0.01,1.45,549.06,80.82,468.21,2.57,253.82,
array-dblclockfft_butterfly_ck3_r2-p010.smt2,,,4,7,7,33,29,63,214,,104,82,101,96,,,801.40,669.94,timeout,83.28,0.10,0.00,0.05,0.01,0.03,53.62,6.21,,0.01,0.00,,0.05,54.01,0.67,53.32,0.12,52.33,
array-dblclockfft_butterfly_ck3_r2-p015.smt2,,,,8,7,177,32,50,589,8,246,227,280,238,,,4433.37,3296.39,timeout,899.96,25.20,1.21,19.54,0.40,4.28,145.12,93.73,,0.07,0.01,0.01,0.65,172.91,41.36,131.52,1.12,83.71,
array-dblclockfft_butterfly_ck3_r2-p021.smt2,,,2,9,9,32,55,144,447,,204,173,185,194,,,1193.49,1098.47,timeout,113.34,0.34,0.02,0.18,0.03,0.07,111.73,13.96,,0.03,0.00,,0.17,112.92,98.04,14.85,0.37,10.29,
array-dblclockfft_butterfly_ck3_r2-p029.smt2,,,,10,9,549,50,278,1928,76,682,649,901,672,,,1284.88,1089.89,timeout,899.97,2.97,0.13,1.51,0.14,0.72,824.01,779.16,,1.43,0.01,0.01,3.48,844.83,180.61,664.19,6.31,498.83,
array-dblclockfft_butterfly_ck3_r2-p042.smt2,,,,13,12,344,68,167,742,1,441,419,232,428,,,1647.33,1578.43,timeout,899.98,20.55,0.47,17.54,0.26,1.40,540.18,414.49,,0.23,0.01,0.01,2.80,569.59,62.47,507.08,4.38,407.11,
array-dblclockfft_butterfly_ck3_r2-p052.smt2,,,4,6,6,22,23,45,163,,79,60,86,72,,,261.90,250.68,timeout,13.69,0.05,0.00,0.02,0.00,0.02,13.28,13.04,,0.01,0.00,,0.03,13.51,0.39,13.10,0.07,11.91,
array-dblclockfft_butterfly_ck3_r2-p059.smt2,,,1,3,3,7,4,9,15,,17,11,5,13,,,192.46,13.82,timeout,0.28,0.01,,0.00,,0.00,0.10,0.07,,,0.00,,0.00,0.12,0.02,0.10,0.01,0.04,
array-dblclockfft_butterfly_ck3_r2-p060.smt2,,,,8,7,100,15,37,233,3,130,112,66,122,,,5472.39,4372.93,timeout,899.98,143.61,7.04,123.16,3.43,10.54,490.91,33.42,,0.04,0.01,0.01,2.79,638.90,8.98,629.90,3.04,335.72,
array-dblclockfft_butterfly_ck3_r2-p079.smt2,,,8,9,9,51,32,20,385,,119,99,147,110,,,193.81,111.76,timeout,9.33,0.07,0.00,0.03,0.00,0.03,8.57,7.95,,0.03,0.00,,0.07,9.11,3.62,5.47,0.16,3.95,
array-dblclockfft_butterfly_ck3_r2-p093.smt2,,,,20,19,354,141,170,3500,13,538,501,2040,518,,,2159.93,1933.94,timeout,899.98,26.56,0.59,19.15,0.53,2.44,770.53,549.58,,1.26,0.01,0.01,7.65,817.34,207.89,609.38,9.96,502.93,
array-dblclockfft_butterfly_ck3_r2-p114.smt2,,,5,5,5,26,11,12,69,,50,37,8,44,,,193.81,29.40,timeout,1.35,0.02,,0.01,0.00,0.01,1.05,0.80,,0.00,0.00,,0.01,1.18,0.29,0.87,0.04,0.59,
array-dblclockfft_butterfly_ck3_r2-p133.smt2,,,2,8,8,23,42,76,188,,123,104,60,114,,,192.46,86.79,timeout,5.43,0.07,0.00,0.03,0.00,0.03,4.83,4.41,,0.01,0.00,,0.05,5.20,0.61,4.56,0.13,3.09,
array-dblclockfft_butterfly_ck3_r2-p146.smt2,,,,15,14,314,75,200,1626,63,427,406,926,418,,,697.36,669.55,timeout,899.96,1.48,0.06,0.75,0.08,0.38,545.08,512.69,,0.55,0.01,0.01,2.25,556.91,86.27,470.60,4.03,380.70,
array-dblclockfft_butterfly_ck3_r2-p148.smt2,,,6,8,7,87,17,35,156,9,106,88,22,99,,,265.90,246.87,timeout,37.42,0.15,0.01,0.07,0.01,0.04,16.79,15.73,,0.02,0.01,0.01,0.13,17.49,3.11,14.37,0.25,9.44,
