index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
bv-qspiflash_dualflexpress_divfive-p074.smt2,,,,41,40,1071,3064,156,22733,145,1603,1569,12366,1604,,,504.92,486.36,timeout,899.98,4.99,0.24,2.14,0.29,1.88,831.49,654.99,,10.58,0.09,0.08,10.93,893.93,386.62,507.17,18.55,385.96,
bv-qspiflash_dualflexpress_divfive-p079.smt2,,,30,32,32,382,1124,637,13080,46,1401,1373,7651,1399,,,419.46,383.84,unsat,509.62,4.99,0.27,2.21,0.27,1.89,466.19,383.00,,5.69,0.09,0.08,7.62,506.62,173.44,333.08,13.77,254.82,
bv-qspiflash_dualflexpress_divfive-p092.smt2,,,18,18,18,460,384,190,3496,13,677,667,1903,670,,,153.63,142.87,unsat,75.34,1.58,0.07,0.63,0.08,0.69,64.09,51.89,,0.73,0.09,0.08,2.48,74.73,23.29,51.38,4.63,32.40,
bv-qspiflash_dualflexpress_divfive-p097.smt2,,,30,32,32,213,494,248,7659,9,675,638,4052,658,,,149.91,134.46,unsat,124.09,1.37,0.06,0.44,0.08,0.66,108.10,86.60,,1.61,0.09,0.08,2.84,123.43,59.23,64.09,5.08,42.39,
bv-qspiflash_dualflexpress_divfive-p112.smt2,,,,52,51,1073,1002,827,23123,50,1609,1570,16805,1605,,,463.75,436.43,timeout,899.99,4.86,0.23,2.02,0.28,1.92,734.94,512.01,,5.58,0.09,0.08,10.40,783.25,266.56,516.51,18.11,393.45,
bv-qspiflash_dualflexpress_divfive-p116.smt2,,,,38,37,1435,1987,389,13423,118,1688,1696,6925,1712,,,435.35,417.07,timeout,899.97,8.96,0.54,5.10,0.40,2.54,763.51,613.35,,5.26,0.09,0.08,10.25,815.29,226.45,588.71,18.03,453.33,
bv-qspiflash_dualflexpress_divfive-p120.smt2,,,,65,64,529,2510,112,23348,79,1640,1573,12182,1622,,,361.41,342.90,timeout,899.97,3.47,0.12,1.11,0.23,1.58,796.94,622.77,,9.05,0.09,0.08,9.99,854.27,372.14,481.91,17.10,379.26,
bv-qspiflash_dualflexpress_divfive-p126.smt2,,,,15,14,1485,45,386,2717,33,1568,1575,949,1579,,,429.30,420.00,timeout,899.97,12.06,0.78,7.46,0.48,3.01,767.64,677.64,,0.88,0.09,0.08,9.83,810.35,99.07,711.24,17.87,589.49,
bv-qspiflash_dualflexpress_divfive-p127.smt2,,,,25,24,1314,155,344,8678,22,1500,1490,4250,1501,,,420.48,402.27,timeout,899.99,13.29,0.95,7.84,0.58,3.45,841.47,723.96,,5.04,0.09,0.08,9.37,894.64,201.54,693.02,16.78,572.42,
bv-qspiflash_dualflexpress_divfive-p128.smt2,,,39,42,42,569,2633,440,13589,158,1336,1328,6301,1370,,,394.04,328.28,unsat,503.82,7.07,0.45,3.72,0.35,2.23,461.50,374.54,,4.95,0.09,0.08,7.63,501.79,155.83,345.82,13.31,262.13,
bv-qspiflash_dualflexpress_divfive-p133.smt2,,,,21,20,1146,1228,322,8817,131,1288,1283,3963,1294,,,443.25,424.51,timeout,899.98,7.75,0.48,4.72,0.29,2.04,392.67,321.67,,4.96,0.09,0.08,6.55,430.52,154.25,276.20,11.93,203.27,
bv-qspiflash_dualflexpress_divfive-p135.smt2,,,,28,27,1433,712,365,12171,86,1683,1657,5610,1675,,,443.53,424.87,timeout,899.99,11.12,0.75,6.55,0.52,2.92,835.10,699.25,,7.19,0.08,0.08,10.16,893.73,272.55,621.08,17.95,489.37,
bv-qspiflash_dualflexpress_divfive-p136.smt2,,,,22,21,1503,152,319,7071,30,1680,1679,3186,1686,,,445.33,426.80,timeout,899.99,8.29,0.47,4.56,0.37,2.50,620.58,513.38,,3.76,0.08,0.08,10.10,666.55,158.84,507.65,18.17,389.71,
bv-qspiflash_dualflexpress_divfive-p143.smt2,,,2,2,2,5,,3,6,,7,4,3,4,,,24.93,19.23,unsat,0.25,0.00,,,,0.00,0.08,0.06,,,0.09,0.08,,0.10,0.03,0.06,0.00,0.03,
