index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck1-p117.smt2,,,,,,11,12,12,,169,,31,140,215,,268,245,20,,,255,,,,,940.09,145.03,unsat,468.85,0.31,0.01,0.08,0.02,0.15,79.92,67.36,,0.05,0.02,0.02,381.67,465.06,8.76,456.26,383.05,0.27,48.00,,
array-dblclockfft_butterfly_ck1-p139.smt2,,,,,,,4,4,,5,,4,6,14,,16,9,3,,,11,,,,,936.18,24.92,unsat,1.29,0.00,,0.00,,0.00,0.23,0.16,,,0.00,,0.36,0.63,0.04,0.58,0.37,0.00,0.07,,
array-dblclockfft_butterfly_ck1-p147.smt2,,38,23,16,8,,14,13,20,114,35,100,48,852,,198,174,558,2,,183,2,4,2,,936.19,463.73,timeout,899.95,1.52,0.09,0.93,0.05,0.34,166.40,131.97,,0.12,0.00,,59.88,230.59,23.76,206.79,59.83,0.25,131.21,0.42,0.12
array-dblclockfft_butterfly_ck1-p156.smt2,,,,,,,3,3,,4,,1,5,8,,11,6,2,,,7,,,,,936.18,22.01,unsat,0.83,0.00,,,,0.00,0.10,0.05,,,0.00,,0.08,0.20,0.04,0.16,0.08,,0.01,,
array-dblclockfft_butterfly_ck1-p167.smt2,,,,,,,7,7,,2,,24,52,100,9,100,91,25,,,96,,,,,936.18,140.40,unknown,64.88,3.19,0.19,2.52,0.10,0.33,15.86,8.71,,0.01,0.01,0.01,44.43,64.21,2.02,62.18,44.79,0.05,7.89,,
array-dblclockfft_butterfly_ck1-p168.smt2,,,,,,3,7,7,,12,,22,11,59,,43,30,17,,,35,,,,,936.18,41.51,unsat,8.45,0.04,0.00,0.02,0.00,0.01,2.56,1.22,,0.00,0.00,,4.99,7.74,0.33,7.39,5.04,0.01,1.46,,
array-dblclockfft_butterfly_ck1-p191.smt2,,15,9,,81,14,15,15,,181,25,33,156,1119,9,320,301,732,,,300,,2,1,,938.35,248.52,unsat,412.85,0.89,0.03,0.38,0.04,0.30,177.65,148.50,,0.22,0.02,0.02,223.75,408.10,38.71,369.33,225.56,0.58,101.86,0.41,
array-dblclockfft_butterfly_ck1-p199.smt2,,,,,,3,4,4,,15,,4,9,41,,29,22,20,,,24,,,,,936.18,99.00,unsat,9.00,0.03,0.00,0.01,0.00,0.01,5.89,1.12,,,0.00,,2.31,8.33,0.34,7.98,2.34,0.01,5.14,,
array-dblclockfft_butterfly_ck1-p200.smt2,,,,,,7,8,8,,60,,17,44,90,,88,73,16,,,79,,,,,940.08,97.18,unsat,29.94,0.07,0.00,0.01,0.00,0.03,11.70,8.86,,0.01,0.01,0.01,15.33,27.65,1.61,26.02,15.56,0.04,5.82,,
array-dblclockfft_butterfly_ck1-p212.smt2,,,,,,6,7,7,,35,,13,27,65,,57,44,18,,,49,,,,,938.34,55.04,unsat,16.12,0.04,0.00,0.01,0.00,0.02,4.91,3.68,,0.00,0.01,0.01,9.77,15.02,0.72,14.28,9.89,0.01,2.54,,
array-dblclockfft_butterfly_ck1-p214.smt2,,,,,,3,5,5,,14,,8,9,21,,24,14,,,,18,,,,,938.35,36.73,unsat,3.82,0.03,,0.01,0.00,0.01,1.24,0.84,,,0.01,0.01,1.67,3.02,0.20,2.80,1.69,0.00,0.65,,
array-dblclockfft_butterfly_ck1-p222.smt2,,44,23,13,12,1,14,13,23,112,36,170,6,709,11,210,178,258,1,,194,1,2,1,,936.19,268.26,unknown,167.29,4.28,0.23,2.96,0.12,0.90,103.03,75.51,,0.16,0.00,,53.68,163.94,18.59,145.30,53.97,0.29,67.46,0.46,0.11
array-dblclockfft_butterfly_ck1-p223.smt2,,,,,,3,4,4,,12,,5,8,12,,18,11,,,,13,,,,,938.35,30.56,unsat,1.95,0.01,,0.00,,0.00,0.74,0.50,,,0.01,0.01,0.44,1.24,0.07,1.16,0.46,0.00,0.45,,
array-dblclockfft_butterfly_ck1-p255.smt2,,,2,,8,,12,11,,386,,29,354,201,,422,421,57,,,410,,261,261,,938.35,396.15,timeout,899.96,1.82,0.07,0.73,0.10,0.54,565.50,500.48,,0.16,0.03,0.03,279.62,890.80,19.84,870.92,284.27,2.92,418.37,22.24,
array-dblclockfft_butterfly_ck1-p257.smt2,,,,,,1,4,4,,6,,6,7,19,,17,10,5,,,12,,,,,940.09,23.88,unsat,1.56,0.00,,0.00,,0.00,0.26,0.19,,,0.00,,0.62,0.92,0.04,0.87,0.63,0.00,0.11,,
array-dblclockfft_butterfly_ck1-p265.smt2,,,1,,4,,10,9,,46,,26,25,143,,73,56,64,,,62,,,,,938.35,660.78,timeout,899.97,0.08,0.00,0.01,0.00,0.05,18.27,16.19,,0.01,0.04,0.04,10.67,29.78,5.08,24.68,10.98,0.03,8.06,0.00,
array-dblclockfft_butterfly_ck1-p267.smt2,,,,,,,2,2,,3,,,4,3,,7,4,1,,,4,,,,,936.18,21.11,unsat,0.70,0.00,,,,,0.07,0.04,,,0.00,,,0.08,0.03,0.05,0.00,,0.01,,
array-dblclockfft_butterfly_ck1-p269.smt2,,,,,,,8,7,,61,,18,29,145,8,114,101,40,,,106,,,,,938.35,68.17,unknown,65.72,0.10,0.00,0.02,0.01,0.05,13.38,10.73,,0.01,0.02,0.01,42.20,56.58,2.73,53.83,42.62,0.06,4.75,,
array-dblclockfft_butterfly_ck1-p276.smt2,,,,,,,3,3,,4,,1,7,8,,13,8,2,,,9,,,,,936.18,22.93,unsat,0.78,0.00,,0.00,,0.00,0.13,0.09,,,0.00,,0.00,0.15,0.04,0.11,0.01,,0.03,,
array-dblclockfft_butterfly_ck1-p285.smt2,,,,,,8,9,9,,65,,26,54,94,,101,82,15,,,91,,,,,938.35,106.02,unsat,39.04,0.09,0.00,0.02,0.01,0.04,14.10,7.24,,0.01,0.01,0.01,22.53,37.39,1.53,35.83,22.84,0.04,8.03,,
array-dblclockfft_butterfly_ck1-p286.smt2,,,,,,1,4,4,,13,,2,14,38,,28,21,21,,,23,,,,,936.18,41.22,unsat,3.90,0.04,0.00,0.02,0.00,0.01,1.66,1.18,,,0.01,0.01,1.20,3.01,0.38,2.63,1.24,0.00,0.73,,
array-dblclockfft_butterfly_ck1-p304.smt2,,,,,,2,6,6,,11,,15,18,59,,41,30,19,,,34,,,,,938.35,32.24,unsat,7.52,0.02,,0.00,0.00,0.01,2.19,1.77,,0.00,0.00,,4.51,6.86,0.38,6.47,4.56,0.01,1.19,,
array-dblclockfft_butterfly_ck1-p309.smt2,,,,,,,4,4,,5,,3,8,18,,18,11,5,,,13,,,,,936.18,24.81,unsat,1.25,0.01,,0.00,,0.00,0.25,0.17,,,0.00,,0.30,0.59,0.07,0.51,0.31,0.00,0.04,,
array-dblclockfft_butterfly_ck1-p310.smt2,,,,,,5,6,6,,30,,9,20,43,,45,32,5,,,38,,,,,938.35,97.65,unsat,18.97,0.04,0.00,0.01,0.00,0.01,5.41,2.42,,0.00,0.01,0.01,8.39,14.06,0.66,13.39,8.48,0.01,3.52,,
array-dblclockfft_butterfly_ck1-p333.smt2,,,,,,9,10,10,,84,,25,70,139,,131,112,29,,,120,,,,,938.35,191.13,unsat,78.46,0.14,0.00,0.04,0.01,0.07,32.97,18.01,,0.02,0.02,0.01,40.43,74.66,3.35,71.28,40.92,0.09,22.51,,
array-dblclockfft_butterfly_ck1-p341.smt2,,,,,,7,9,9,,70,,43,52,298,1,151,133,138,,,141,,,,,938.35,101.19,unsat,75.25,0.21,0.01,0.07,0.01,0.08,23.50,16.15,,0.03,0.01,0.01,48.72,73.63,4.62,68.99,49.23,0.10,12.33,,
array-dblclockfft_butterfly_ck1-p343.smt2,,,,,,,8,7,,62,,22,24,174,8,116,102,58,,,108,,,,,938.35,73.99,unknown,83.12,0.14,0.01,0.05,0.01,0.05,12.36,9.57,,0.01,0.02,0.01,47.29,60.73,3.18,57.53,47.72,0.06,3.10,,
array-dblclockfft_butterfly_ck1-p346.smt2,,,,,,1,12,11,,121,,42,71,325,3,177,156,56,,,165,,,,,940.09,444.20,unknown,275.95,0.15,0.00,0.02,0.01,0.09,34.44,28.55,,0.05,0.02,0.02,73.74,110.47,11.39,99.05,74.60,0.14,9.81,,
array-dblclockfft_butterfly_ck1-p348.smt2,,,,,,5,6,6,,39,,7,31,41,,54,42,5,,,47,,,,,938.35,52.61,unsat,16.24,0.05,0.00,0.02,0.00,0.02,3.76,2.37,,0.00,0.01,0.01,11.22,15.28,0.60,14.66,11.32,0.01,1.81,,
array-dblclockfft_butterfly_ck1-p351.smt2,,,,,,1,12,11,,180,,20,107,457,6,255,234,184,,,243,,,,,940.09,244.29,unknown,275.57,0.50,0.01,0.18,0.02,0.21,127.37,106.77,,0.07,0.02,0.02,117.04,248.62,17.19,231.39,118.48,0.38,87.15,,
array-dblclockfft_butterfly_ck1-p352.smt2,,,,,,8,10,10,,78,,32,61,176,2,124,105,42,,,113,,,,,938.35,139.47,unsat,71.16,0.15,0.01,0.05,0.01,0.06,27.88,17.06,,0.03,0.02,0.01,40.59,69.65,3.35,66.27,41.00,0.10,18.71,,
array-dblclockfft_butterfly_ck1-p354.smt2,,,,,,3,8,8,,6,,13,31,78,2,61,50,20,,,56,,,,,938.35,54.64,unknown,16.70,0.04,,0.00,0.00,0.02,5.87,4.89,,0.00,0.02,0.01,9.75,16.05,1.49,14.53,9.91,0.01,2.21,,
array-dblclockfft_butterfly_ck1-p359.smt2,,,,,,5,6,6,,25,,10,17,37,,40,29,3,,,33,,,,,938.35,50.44,unsat,9.92,0.02,,0.00,0.00,0.01,2.89,1.85,,0.00,0.01,0.01,5.86,8.96,0.58,8.36,5.94,0.01,1.38,,
array-dblclockfft_butterfly_ck1-p372.smt2,,,,,,6,12,12,,15,,36,118,253,9,228,210,61,,,220,,,,,940.09,107.82,unknown,131.08,0.20,0.01,0.03,0.01,0.12,49.59,42.87,,0.04,0.02,0.02,78.08,130.38,9.48,120.86,79.24,0.18,22.74,,
array-dblclockfft_butterfly_ck1-p375.smt2,,,,,,1,6,6,,12,,9,23,108,3,46,38,61,,,43,,,,,940.09,45.49,unknown,16.68,0.03,,0.00,0.00,0.01,4.04,3.32,,0.00,0.02,0.01,11.62,16.02,1.25,14.76,11.77,0.01,0.64,,
array-dblclockfft_butterfly_ck1-p386.smt2,,,,,,1,9,9,,6,,54,80,275,7,171,160,88,,,167,,,,,1416.33,374.76,unknown,146.45,22.68,1.36,18.78,0.48,2.36,44.20,19.12,,0.05,0.01,0.01,77.25,145.77,7.34,138.40,77.91,0.15,9.10,,
array-dblclockfft_butterfly_ck1-p420.smt2,,,,,,8,9,9,,41,,49,10,114,,77,60,2,,,67,,,,,940.08,206.92,unsat,33.75,0.16,0.01,0.08,0.01,0.04,19.52,6.95,,0.01,0.00,,12.94,33.04,1.81,31.20,13.07,0.03,15.52,,
array-dblclockfft_butterfly_ck1-p422.smt2,,,,,,1,4,4,,6,,6,7,19,,17,10,5,,,12,,,,,938.35,24.86,unsat,1.30,0.00,,,,0.00,0.29,0.22,,,0.00,,0.36,0.69,0.06,0.62,0.37,0.00,0.14,,
array-dblclockfft_butterfly_ck1-p428.smt2,,,,,,5,7,7,,35,,13,22,115,,69,54,58,,,61,,,,,940.08,53.58,unsat,19.21,0.08,0.00,0.03,0.00,0.03,5.46,3.87,,0.01,0.01,0.01,12.23,18.16,1.16,16.98,12.40,0.02,2.41,,
array-dblclockfft_butterfly_ck1-p432.smt2,,,,,,3,4,4,,10,,4,6,12,,16,8,,,,11,,,,,940.08,60.81,unsat,2.63,0.01,,0.00,,0.00,1.82,0.22,,,0.01,0.01,0.01,1.87,0.07,1.80,0.01,0.00,1.49,,
array-dblclockfft_butterfly_ck1-p434.smt2,,,,,,5,6,6,,30,,8,20,47,,45,33,7,,,38,,,,,940.08,59.09,unsat,17.51,0.04,0.00,0.01,0.00,0.02,4.68,3.12,,0.00,0.01,0.01,11.07,16.01,0.58,15.41,11.15,0.01,2.77,,
array-dblclockfft_butterfly_ck1-p436.smt2,,,,,,7,8,8,,53,,21,42,86,,82,67,16,,,73,,,,,940.08,98.86,unsat,41.98,0.08,0.00,0.02,0.01,0.04,11.21,7.11,,0.01,0.01,0.01,27.50,39.33,1.75,37.56,27.74,0.03,5.44,,
array-dblclockfft_butterfly_ck1-p454.smt2,,,,,,3,6,6,,12,,14,10,50,,36,25,19,,,29,,,,,936.18,39.18,unsat,7.85,0.01,,0.00,,0.01,1.61,0.96,,,0.00,,5.44,7.18,0.28,6.88,5.48,0.00,0.65,,
array-dblclockfft_butterfly_ck1-p455.smt2,,,,,,4,8,8,,17,,27,10,72,,54,39,21,,,45,,,,,936.18,32.22,unsat,8.23,0.02,0.00,0.01,,0.01,1.74,1.28,,0.00,0.00,,5.60,7.53,0.40,7.12,5.67,0.01,0.43,,
array-dblclockfft_butterfly_ck2_r0-p043.smt2,,,,,,3,5,5,,27,,9,39,116,4,70,57,65,,,64,,,,,421.11,63.68,unsat,8.78,0.25,0.02,0.15,0.01,0.06,5.91,4.04,,0.01,0.01,0.01,1.20,7.70,0.87,6.82,1.32,0.03,3.03,,
array-dblclockfft_butterfly_ck2_r0-p048.smt2,,,,,,,2,2,,3,,,3,3,,6,3,1,,,3,,,,,421.11,19.90,unsat,0.39,0.00,,,,,0.07,0.02,,,0.01,0.01,,0.08,0.04,0.04,0.00,,0.01,,
array-dblclockfft_butterfly_ck2_r0-p061.smt2,,,,,,4,4,4,,23,,5,15,23,1,32,25,1,,,27,,,,,423.51,29.13,unsat,1.46,0.02,,0.00,0.00,0.01,1.02,0.83,,,0.01,0.01,0.02,1.14,0.12,1.00,0.04,0.01,0.64,,
array-dblclockfft_butterfly_ck2_r0-p064.smt2,,,,,,6,8,8,,105,,34,73,281,5,151,132,109,,,142,,,,,423.51,254.43,unsat,77.56,9.60,0.68,7.57,0.25,1.23,49.78,34.72,,0.06,0.01,0.01,15.79,76.55,7.49,69.04,16.19,0.22,29.06,,
array-dblclockfft_butterfly_ck2_r0-p075.smt2,,,,,,6,7,7,,65,,18,58,139,,107,90,49,,,99,,,,,423.51,102.37,unsat,31.65,0.91,0.05,0.64,0.03,0.15,23.86,19.34,,0.02,0.01,0.01,3.80,29.31,2.63,26.66,4.04,0.10,16.85,,
array-dblclockfft_butterfly_ck2_r0-p095.smt2,,21,50,40,47,,18,17,,366,,63,243,2714,16,480,511,2326,24,,466,22,216,5,,790.22,735.95,timeout,899.98,18.13,1.20,11.07,0.68,3.63,709.38,568.11,,0.46,0.02,0.01,113.89,858.73,138.01,720.66,101.40,4.43,454.03,1.29,1.90
array-dblclockfft_butterfly_ck2_r0-p096.smt2,,17,22,9,47,4,14,14,,43,,98,214,1334,15,348,343,752,10,,332,9,,,,590.69,504.84,unknown,684.25,4.86,0.22,3.04,0.16,1.08,595.14,541.82,,0.48,0.02,0.01,74.97,683.89,225.49,458.35,74.61,1.33,272.80,0.11,0.51
array-dblclockfft_butterfly_ck2_r0-p098.smt2,,,,,,1,3,3,,8,,3,10,13,,17,12,5,,,13,,,,,421.11,19.33,unsat,0.46,0.01,,0.00,,0.00,0.16,0.13,,,0.00,,0.00,0.20,0.02,0.17,0.01,0.00,0.08,,
array-dblclockfft_butterfly_ck2_r0-p100.smt2,,,,,,5,5,5,,30,,12,14,61,,44,35,17,,,38,,,,,423.51,36.91,unsat,3.40,0.02,,0.01,0.00,0.01,2.49,2.11,,0.00,0.01,0.01,0.34,3.00,0.56,2.43,0.38,0.01,1.49,,
array-dblclockfft_butterfly_ck2_r0-p101.smt2,,5,20,15,15,,14,13,,179,,59,117,1013,12,258,254,696,16,,242,14,11,1,,875.23,705.57,timeout,899.97,5.78,0.44,3.94,0.20,1.15,214.47,186.80,,0.13,0.02,0.01,31.47,256.32,39.84,216.45,28.91,0.62,134.53,0.17,0.71
array-dblclockfft_butterfly_ck2_r0-p103.smt2,,,,,,7,8,8,,67,,28,48,228,3,123,107,83,,,114,,,,,423.51,87.89,unsat,23.87,0.25,0.01,0.11,0.01,0.08,18.31,15.13,,0.03,0.01,0.01,3.44,22.86,4.22,18.61,3.74,0.08,8.75,,
array-dblclockfft_butterfly_ck2_r0-p106.smt2,,24,67,51,126,14,28,28,,227,,444,288,3760,30,742,755,1822,34,,716,28,,1,1,515.79,448.69,unknown,379.15,5.20,0.29,2.88,0.20,1.60,280.64,227.94,,1.29,0.00,,76.36,378.76,91.97,286.68,75.65,5.21,145.05,1.36,0.74
array-dblclockfft_butterfly_ck2_r0-p129.smt2,,,14,7,42,,10,9,,155,,21,86,449,2,206,198,258,2,,191,2,,,,1501.77,1317.01,timeout,899.98,75.67,2.81,67.04,1.14,4.87,553.26,265.65,,0.08,0.02,0.02,60.84,693.72,81.25,612.44,56.06,0.42,300.72,0.08,0.31
array-dblclockfft_butterfly_ck2_r0-p134.smt2,,,,,,11,12,12,,288,,92,240,828,42,461,437,264,,,449,,,,,576.67,520.28,unsat,533.38,5.01,0.20,3.71,0.14,0.68,455.96,405.46,,0.47,0.02,0.01,54.46,524.16,58.26,465.87,56.92,1.35,328.31,,
array-dblclockfft_butterfly_ck2_r0-p152.smt2,,,,,,1,2,2,,4,,,4,7,,8,5,4,,,5,,,,,421.11,16.35,unsat,0.31,0.00,,,,,0.05,0.03,,,0.00,,,0.06,0.01,0.04,0.00,,0.01,,
array-dblclockfft_butterfly_ck2_r0-p155.smt2,,6,,,,4,13,13,,11,,56,116,542,12,212,197,260,10,,206,10,,11,11,423.05,212.85,unknown,102.07,1.78,0.10,1.06,0.07,0.40,84.19,69.50,,0.10,0.01,0.01,12.39,101.79,18.65,83.10,13.22,0.34,43.18,0.71,0.13
array-dblclockfft_butterfly_ck2_r0-p159.smt2,,,,,,11,12,12,,208,,72,187,1075,8,369,335,492,,,356,,,,,423.82,344.96,unsat,406.33,1.05,0.04,0.45,0.05,0.32,355.79,320.75,,0.38,0.01,0.01,33.42,397.40,67.35,330.01,35.19,1.00,222.71,,
array-dblclockfft_butterfly_ck2_r0-p168.smt2,,,,,,1,6,6,,11,,19,25,70,,53,41,24,,,46,,,,,421.11,34.05,unsat,2.58,0.02,0.00,0.01,0.00,0.01,1.93,1.67,,0.00,0.00,,0.21,2.30,0.30,1.98,0.26,0.01,1.15,,
array-dblclockfft_butterfly_ck2_r0-p171.smt2,,,,,,2,6,6,,13,,17,34,85,,64,50,29,,,57,,,,,421.11,32.39,unsat,3.35,0.04,0.00,0.02,0.00,0.02,2.44,2.00,,0.00,0.00,,0.37,3.04,0.48,2.55,0.43,0.02,1.28,,
array-dblclockfft_butterfly_ck2_r0-p173.smt2,,,13,5,17,,13,12,,201,,35,127,999,15,256,251,752,4,,241,4,41,4,,1408.70,1188.98,timeout,899.97,84.44,3.52,71.01,1.49,8.62,511.42,341.71,,0.14,0.02,0.02,56.22,658.24,139.66,518.54,52.71,1.02,288.80,0.77,0.23
array-dblclockfft_butterfly_ck2_r0-p185.smt2,,,,,,,9,8,,81,,33,36,217,3,113,93,60,,,104,,,,,3335.81,3068.40,timeout,899.95,23.56,1.48,19.75,0.51,2.15,150.62,43.69,,0.03,0.01,0.01,5.95,180.97,12.73,168.22,6.19,0.08,74.80,,
array-dblclockfft_butterfly_ck2_r0-p188.smt2,,,15,10,9,1,11,10,,128,,34,64,476,3,177,174,241,10,,166,10,,,,423.05,208.73,unknown,165.21,0.69,0.03,0.35,0.03,0.20,133.83,120.60,,0.07,0.02,0.01,15.13,152.45,25.38,127.04,12.60,0.26,80.78,0.04,0.14
array-dblclockfft_butterfly_ck2_r0-p218.smt2,,,,,,10,11,11,,207,,65,135,526,10,333,308,112,,,322,,,,,424.21,232.81,unsat,233.47,0.74,0.03,0.35,0.03,0.22,200.66,175.89,,0.27,0.01,0.01,22.11,228.23,29.48,198.71,23.60,0.67,138.52,,
array-dblclockfft_butterfly_ck2_r0-p232.smt2,,,,,,1,4,4,,13,,6,15,23,,26,19,6,,,21,,,,,423.05,22.75,unsat,0.82,0.01,,0.00,,0.00,0.43,0.35,,,0.00,,0.06,0.55,0.06,0.48,0.07,0.00,0.25,,
array-dblclockfft_butterfly_ck2_r0-p239.smt2,,,,,,6,6,6,,35,,17,10,106,,60,48,23,,,53,,,,,423.51,41.72,unsat,5.51,0.06,0.00,0.02,0.00,0.03,4.58,4.04,,0.01,0.00,,0.33,5.21,0.86,4.34,0.39,0.03,3.00,,
array-dblclockfft_butterfly_ck2_r0-p249.smt2,,,,,,5,6,6,,27,,19,19,68,3,49,36,11,,,42,,,,,423.05,46.22,unsat,5.70,0.05,0.00,0.02,0.00,0.02,4.68,3.95,,0.01,0.01,0.01,0.32,5.26,0.87,4.37,0.39,0.01,2.82,,
