index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,,,,8,8,,151,,8,90,51,,161,157,21,,,161,,,,,162.65,141.45,unknown,124.73,0.66,0.01,0.06,0.01,0.50,106.31,99.18,,0.00,0.06,0.06,13.96,124.64,0.86,123.75,15.31,0.69,86.06,,
array-VexRiscv-regch0-15-p1.smt2,,,,,,,8,8,,65,,14,30,113,1,75,71,57,,,75,,,,,121.90,107.16,unknown,34.30,0.26,0.00,0.01,0.00,0.21,29.16,26.87,,0.00,0.06,0.06,3.25,34.20,3.00,31.18,3.83,0.04,20.25,,
array-VexRiscv-regch0-20-p0.smt2,,,,,,,9,9,,135,,10,56,251,4,152,144,154,,,149,,,,,279.25,248.32,unknown,153.33,0.69,0.01,0.06,0.01,0.48,132.45,121.59,2.64,0.01,0.06,0.06,15.49,153.23,8.65,144.55,16.77,0.31,103.92,,
array-arbitrated_fifos_n2d8w8.smt2,,21,2,2,,,20,19,2,613,1,18,12,4238,5,897,904,1366,109,1,890,109,94,109,108,437.64,371.14,timeout,899.97,14.03,0.89,7.79,0.53,4.51,538.73,0.61,445.60,0.00,0.01,0.00,33.13,638.42,195.09,443.25,29.43,7.32,290.13,4.88,1.59
array-array_swap.smt2,,,,,,,2,1,,2,,,,2,,3,2,,,,1,,,,,9.09,9.09,unknown,0.02,,,,,,0.00,,0.00,,0.00,,,0.01,0.00,0.00,,,,,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,,,,5,5,,6,,5,11,33,,26,17,10,,,20,,,,,936.18,25.31,unsat,2.30,0.01,,0.01,,0.00,0.54,0.41,,,0.00,,1.05,1.68,0.24,1.42,1.07,0.00,0.07,,
array-dblclockfft_butterfly_ck1-p015.smt2,,,,,,3,9,9,,24,,52,15,144,,74,57,27,,,64,,,,,936.18,103.54,unsat,27.70,0.16,0.00,0.11,0.00,0.03,9.63,4.26,,0.01,0.00,,16.85,26.99,1.48,25.49,16.97,0.03,6.44,,
array-dblclockfft_butterfly_ck1-p023.smt2,,,,,,4,9,9,,28,,55,17,143,3,79,62,29,,,69,,,,,940.09,177.49,unsat,32.23,0.09,0.00,0.04,0.00,0.03,22.80,6.35,,0.01,0.00,,8.22,31.51,1.12,30.36,8.36,0.03,19.47,,
array-dblclockfft_butterfly_ck1-p053.smt2,,,,,,,5,5,,6,,8,7,21,,22,13,4,,,16,,,,,936.18,25.04,unsat,2.29,0.01,,0.00,,0.00,0.46,0.35,,,0.00,,1.08,1.60,0.10,1.49,1.10,0.00,0.11,,
array-dblclockfft_butterfly_ck1-p060.smt2,,,,,,,2,2,,3,,,3,3,,6,3,1,,,3,,,,,936.18,23.28,unsat,0.75,0.00,,,,,0.08,0.03,,,0.01,0.01,0.00,0.09,0.04,0.05,0.00,,,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,,,,,9,8,,129,,51,55,346,2,212,197,93,,,203,,,,,940.08,151.48,unknown,220.49,0.32,0.01,0.12,0.01,0.12,43.99,31.54,,0.07,0.02,0.02,94.32,141.17,11.72,129.43,95.35,0.23,14.12,,
array-dblclockfft_butterfly_ck1-p068.smt2,,,,,,,12,11,,145,,27,58,434,1,203,182,135,,,191,,,,,940.08,143.67,timeout,899.97,0.19,0.00,0.03,0.01,0.10,50.92,44.04,,0.06,0.02,0.02,686.95,740.80,15.58,725.18,688.00,0.21,20.91,,
array-dblclockfft_butterfly_ck1-p072.smt2,,,,,,5,5,5,,12,,9,6,49,,23,14,25,,,17,,,,,938.35,25.14,unsat,1.78,0.01,,0.00,,0.00,0.54,0.37,,,0.00,,0.52,1.12,0.19,0.92,0.53,0.00,0.15,,
array-dblclockfft_butterfly_ck1-p073.smt2,,,,,,,4,4,,2,,5,8,12,2,14,9,2,,,12,,,,,940.08,35.06,unknown,1.88,0.01,,,,0.00,0.55,0.44,,,0.02,0.02,0.57,1.17,0.12,1.04,0.58,,0.14,,
array-dblclockfft_butterfly_ck1-p078.smt2,,,,,,1,10,9,,40,,27,21,123,2,78,61,31,,,68,,,,,940.08,59.18,unknown,42.50,0.05,0.00,0.01,0.00,0.03,6.99,5.86,,0.01,0.01,0.01,19.10,26.65,2.19,24.44,19.30,0.02,2.23,,
array-dblclockfft_butterfly_ck1-p096.smt2,,,,,,6,6,6,,13,,11,6,41,,25,15,11,,,19,,,,,940.09,25.45,unsat,2.78,0.01,,0.00,,0.00,0.55,0.39,,,0.00,,1.48,2.11,0.18,1.92,1.50,0.00,0.15,,
array-dblclockfft_butterfly_ck1-p106.smt2,,,1,1,,,5,5,,2,1,13,27,37,4,37,33,9,1,,35,1,,,,938.35,63.77,unknown,11.05,0.03,,0.00,0.00,0.02,5.07,4.27,,,0.02,0.02,4.98,10.34,0.95,9.38,4.63,0.01,1.69,0.01,0.03
