index,result,sat_count,uns_count,unk_count,low_bound,high_bound,avg_bound,low_real,high_real,avg_real,low_time,high_timeavg_time,low_mem,high_mem,avg_mem,avg_time,high_time
bv-qspiflash_dualflexpress_divthree-p113,unsat,0,7,1,-1,-1,-1,0.1,3600.1,1038.0154545454545,0.0,,0.0,122903.0,12966.545454545454,3322.791818181818,12188.62
bv-qspiflash_dualflexpress_divthree-p121,unsat,0,7,0,-1,-1,-1,0.53,3600.1,1372.000909090909,0.48,,15.0,7136.0,2344.6363636363635,4062.9872727272727,18105.82
bv-qspiflash_dualflexpress_divthree-p124,unsat,0,7,1,-1,-1,-1,0.49,3600.1,975.1363636363636,0.38,,16.0,122969.0,12184.181818181818,2700.9918181818184,13507.67
bv-qspiflash_dualflexpress_divthree-p134,unsat,0,7,1,-1,-1,-1,0.12,3600.1,1457.7154545454546,0.0,,3.0,7472.0,3134.0,4984.732727272727,17684.83
bv-qspiflash_dualflexpress_divthree-p136,unsat,0,7,1,-1,-1,-1,0.52,3600.1,1012.8081818181819,0.39,,15.0,6639.0,1676.7272727272727,2870.0763636363636,15471.52
bv-qspiflash_dualflexpress_divthree-p141,unsat,0,7,1,-1,-1,-1,0.63,3600.1,1029.73,0.59,,15.0,39807.0,4570.818181818182,2908.0081818181816,15633.56
bv-qspiflash_dualflexpress_divthree-p143,unsat,0,10,1,-1,-1,-1,0.03,20.44,2.230909090909091,0.0,,0.0,547.0,160.9090909090909,2.208181818181818,20.4
bv-qspiflash_dualflexpress_divthree-p151,unsat,0,7,0,-1,-1,-1,0.08,3600.1,1499.15,0.0,,0.0,31509.0,4824.363636363636,5621.828181818182,18105.68
bv-qspiflash_dualflexpress_divthree-p153,unsat,0,7,0,-1,-1,-1,0.08,3600.1,1536.418181818182,0.0,,0.0,21672.0,4216.545454545455,5742.331818181819,18106.16
bv-qspiflash_dualflexpress_divthree-p158,unsat,0,9,1,-1,-1,-1,0.09,3600.09,332.4027272727273,0.0,,0.0,1818.0,464.09090909090907,339.29272727272723,3599.91
bv-qspiflash_dualflexpress_divthree-p161,unsat,0,7,1,-1,-1,-1,0.08,3600.1,1356.3263636363636,0.0,,0.0,8008.0,2965.090909090909,4602.183636363637,18104.99
bv-qspiflash_dualflexpress_divthree-p164,unsat,0,7,1,-1,-1,-1,0.51,3600.1,1004.2290909090909,0.39,,15.0,6629.0,1583.1818181818182,2821.2845454545454,15320.41
bv-qspiflash_qflexpress_divfive-p017,unsat,0,10,1,-1,-1,-1,0.08,17.4,1.9636363636363634,0.0,,0.0,674.0,210.72727272727272,2.0290909090909093,17.3
bv-qspiflash_qflexpress_divfive-p029,unsat,0,7,1,-1,-1,-1,0.48,3600.1,1004.4327272727273,0.38,,16.0,6504.0,1640.7272727272727,2834.0436363636363,15295.48
bv-qspiflash_qflexpress_divfive-p036,unsat,0,7,1,-1,-1,-1,0.57,3600.1,998.1445454545454,0.49,,17.0,7594.0,1501.909090909091,2780.6981818181816,15230.56
bv-qspiflash_qflexpress_divfive-p038,unsat,0,7,1,-1,-1,-1,0.56,3600.1,994.5718181818182,0.49,,16.0,6910.0,1452.090909090909,2765.091818181818,15148.74
bv-qspiflash_qflexpress_divfive-p048,unsat,0,10,1,-1,-1,-1,0.15,39.6,4.17909090909091,0.09,,13.0,615.0,328.0,4.9354545454545455,39.5
bv-qspiflash_qflexpress_divfive-p063,unsat,0,7,1,-1,-1,-1,0.09,3600.1,1274.8454545454545,0.0,,0.0,9286.0,2574.2727272727275,4001.6918181818182,18105.7
bv-qspiflash_qflexpress_divfive-p064,unsat,0,7,1,-1,-1,-1,0.51,3600.1,997.5545454545454,0.49,,15.0,7736.0,1611.2727272727273,2788.6536363636365,15272.91
bv-qspiflash_qflexpress_divfive-p067,unsat,0,7,1,-1,-1,-1,0.41,3600.1,1134.4554545454546,0.29,,18.0,6263.0,1971.7272727272727,3277.7027272727273,15776.77
bv-qspiflash_qflexpress_divfive-p075,unsat,0,7,1,-1,-1,-1,0.48,3600.1,1297.3672727272726,0.39,,16.0,14949.0,4249.454545454545,4948.329090909091,16151.0
bv-qspiflash_qflexpress_divfive-p079,unsat,0,7,1,-1,-1,-1,0.54,3600.1,1016.6236363636364,0.49,,20.0,6981.0,1559.4545454545455,2946.049090909091,15987.09
bv-qspiflash_qflexpress_divfive-p094,unsat,0,7,1,-1,-1,-1,0.5,3600.1,904.5945454545455,0.39,,20.0,122990.0,12122.818181818182,2411.9836363636364,11748.4
bv-qspiflash_qflexpress_divfive-p100,unsat,0,7,1,-1,-1,-1,0.47,3600.1,1112.6163636363635,0.38,,20.0,23178.0,3811.5454545454545,3625.311818181818,15844.91
bv-qspiflash_qflexpress_divfive-p104,unsat,0,7,1,-1,-1,-1,0.41,3600.1,994.6518181818182,0.29,,17.0,7009.0,1441.5454545454545,2768.270909090909,15182.14
bv-qspiflash_qflexpress_divfive-p107,unsat,0,7,1,-1,-1,-1,0.09,3600.11,1101.2527272727273,0.0,,0.0,5998.0,1983.6363636363637,3435.3045454545454,17154.6
bv-qspiflash_qflexpress_divfive-p113,unsat,0,7,1,-1,-1,-1,0.59,3600.11,1021.0254545454545,0.49,,17.0,6998.0,1684.4545454545455,2879.15,15543.43
bv-qspiflash_qflexpress_divfive-p121,unsat,0,7,1,-1,-1,-1,0.58,3600.1,1244.2527272727273,0.49,,17.0,72160.0,7814.181818181818,3604.800909090909,18103.25
bv-qspiflash_qflexpress_divfive-p122,unsat,0,10,1,-1,-1,-1,0.23,50.58,5.25,0.19,,14.0,584.0,297.6363636363636,6.047272727272727,50.51
bv-qspiflash_qflexpress_divfive-p137,unsat,0,7,1,-1,-1,-1,0.11,3600.1,1185.08,0.0,,0.0,30908.0,4279.909090909091,5325.043636363636,26770.7
bv-qspiflash_qflexpress_divfive-p139,unsat,0,6,2,-1,-1,-1,0.54,3600.12,1341.949090909091,0.48,,17.0,48518.0,5828.636363636364,7604.836363636364,51774.3
bv-rast-p00,unsat,0,6,1,-1,-1,-1,1.37,3600.1,1760.2563636363636,1.29,,25.0,34690.0,4986.090909090909,9093.08909090909,53758.93
bv-rast-p01,unsat,0,10,1,-1,-1,-1,0.07,25.05,3.0654545454545454,0.0,,0.0,960.0,259.3636363636364,3.6163636363636362,25.0
bv-rast-p03,sat,11,0,0,-1,0,-0.45454545454545453,0.01,4.4,0.8427272727272728,0.0,,0.0,2100.0,286.1818181818182,1.059090909090909,5.49
bv-rast-p04,unsat,0,10,1,-1,-1,-1,0.07,13.86,2.090909090909091,0.0,,0.0,1094.0,308.27272727272725,2.6454545454545455,13.8
bv-rast-p06,sat,11,0,0,-1,0,-0.45454545454545453,0.01,4.39,0.8454545454545455,0.0,,0.0,2096.0,299.72727272727275,1.0881818181818181,5.4
bv-rast-p11,unsat,0,10,1,-1,-1,-1,0.08,17.03,2.347272727272727,0.0,,0.0,2280.0,355.54545454545456,2.889090909090909,17.0
bv-rast-p14,unsat,0,2,1,-1,-1,-1,6.71,3600.1,2952.6236363636363,6.59,,31.0,33358.0,7490.636363636364,19522.62090909091,54958.92
bv-rast-p16,unsat,0,4,1,-1,-1,-1,1.07,3600.12,2301.382727272727,0.99,,26.0,36363.0,9573.272727272728,16406.09909090909,53106.13
bv-rast-p17,unsat,0,1,1,-1,-1,-1,0.6,3600.13,3270.3654545454547,0.49,,28.0,67627.0,15822.272727272728,21888.246363636365,50011.67
bv-rast-p18,sat,11,0,0,-1,0,-0.45454545454545453,0.01,4.4,0.8572727272727273,0.0,,0.0,2094.0,287.8181818181818,1.0845454545454545,5.42
bv-rast-p19,sat,11,0,0,-1,0,-0.45454545454545453,0.01,4.45,0.860909090909091,0.0,,0.0,2096.0,285.54545454545456,1.1018181818181818,5.48
bv-rast-p21,unsat,0,10,1,-1,-1,-1,0.08,46.26,5.035454545454545,0.0,,0.0,856.0,242.63636363636363,5.515454545454546,46.19
bv-ridecore,sat,3,0,1,-1,17,3.909090909090909,615.49,3600.11,3016.451818181818,3599.94,,604.0,27657.0,11865.454545454546,15475.450909090909,53974.17
bv-rushhour.4.prop1-func-interl,unsat,0,5,1,-1,-1,-1,4.35,3600.11,2007.9345454545455,41.9,,197.0,28582.0,5392.818181818182,8538.335454545455,47770.06
bv-shift_register_top_w128_d16_e0,sat,6,0,0,-1,39,12.272727272727273,129.65,3600.1,1972.14,822.48,,104.0,7193.0,2483.6363636363635,6718.6163636363635,18106.28
bv-shift_register_top_w128_d64_e0,unknown,0,0,1,-1,-1,-1,3575.32,3600.11,3597.8436363636365,3599.95,,311.0,36158.0,7288.454545454545,22436.91181818182,49340.17
bv-shift_register_top_w16_d128_e0,unknown,0,0,1,-1,-1,-1,3575.73,3600.1,3597.8818181818183,3599.76,,112.0,39945.0,7462.363636363636,22778.174545454545,53760.92
bv-shift_register_top_w16_d16_e0,sat,7,1,0,-1,34,14.454545454545455,3.35,3600.1,1137.3245454545454,3.29,,25.0,5002.0,1534.8181818181818,3690.7054545454544,18103.82
bv-shift_register_top_w16_d32_e0,sat,5,1,0,-1,72,18.181818181818183,4.26,3600.1,1865.8263636363636,4.19,,30.0,20234.0,3818.6363636363635,8392.975454545454,27452.02
bv-shift_register_top_w16_d64_e0,sat,3,1,1,-1,138,36,4.36,3600.1,2487.98,4.29,,37.0,33696.0,5537.545454545455,13540.40181818182,51241.81
bv-shift_register_top_w16_d8_e0,sat,10,1,0,-1,16,6.7272727272727275,1.43,18.15,7.228181818181818,3.29,,22.0,1221.0,428.27272727272725,30.57272727272727,102.0
bv-shift_register_top_w32_d128_e0,unknown,0,0,1,-1,-1,-1,3576.22,3600.1,3597.927272727273,3599.9,,169.0,55429.0,8838.363636363636,23102.02181818182,56038.78
bv-shift_register_top_w32_d16_e0,sat,5,1,0,-1,35,8.545454545454545,8.07,3600.1,1675.4972727272727,7.99,,34.0,6633.0,2162.3636363636365,5856.685454545454,20961.68
bv-shift_register_top_w32_d8_e0,sat,10,1,0,-1,16,6.7272727272727275,2.47,32.86,14.617272727272727,7.29,,26.0,1328.0,474.6363636363636,53.46818181818182,141.91
bv-shift_register_top_w64_d8_e0,sat,10,1,0,-1,19,7.2727272727272725,7.04,118.34,55.275454545454544,23.58,,45.0,1596.0,598.8181818181819,205.0090909090909,484.32
bv-shift_register_top_w8_d128_e0,sat,2,1,1,-1,278,48.09090909090909,2.58,3600.1,2971.732727272727,2.49,,41.0,38936.0,7099.545454545455,19181.634545454544,54333.58
bv-simple_alu,unsat,0,9,2,-1,-1,-1,0.06,209.41,19.37818181818182,0.0,,0.0,266.0,80.45454545454545,19.344545454545454,209.3
bv-stack-p1,sat,11,0,0,-1,1,0.09090909090909091,0.01,25.51,2.821818181818182,0.0,,0.0,2586.0,405.45454545454544,5.609090909090909,54.33
bv-stack-p2,unsat,0,10,1,-1,-1,-1,0.03,1.6,0.5509090909090909,0.0,,0.0,723.0,292.8181818181818,0.8554545454545455,4.02
bv-vcegar_QF_BV_ar,unsat,0,10,1,-1,-1,-1,0.06,215.37,21.661818181818184,0.0,,0.0,763.0,157.72727272727272,21.723636363636363,215.34
bv-vcegar_QF_BV_itc99_b13_p10,unsat,0,10,1,-1,-1,-1,0.02,839.76,76.63,0.0,,0.0,1502.0,212.1818181818182,76.62272727272727,839.68
bv-vcegar_arrays_itc99_b12_p2,unsat,0,1,1,-1,-1,-1,0.61,3600.12,3270.552727272727,0.49,,30.0,46463.0,11904.545454545454,24108.682727272728,56134.47
bv-vgasim_imgfifo-p036,unsat,0,1,1,-1,-1,-1,0.49,3600.1,3270.7063636363637,0.39,,25.0,32324.0,8438.636363636364,20214.699090909093,42128.89
bv-vgasim_imgfifo-p047,unsat,0,10,1,-1,-1,-1,0.06,64.36,6.474545454545455,0.0,,0.0,1968.0,489.0,6.932727272727273,64.3
