index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
bv-picorv32_mutAX_nomem-p0.smt2,,,,,,,3,2,,22,,,,35,,24,22,12,,,21,,,,,234.88,200.07,unknown,181.62,0.38,0.00,0.01,0.00,0.36,79.14,77.62,,,1.39,1.36,9.34,89.65,19.39,70.26,9.63,0.00,56.41,,
bv-picorv32_mutAX_nomem-p2.smt2,,,,,,,3,2,,17,,1,9,19,,19,16,1,,,16,,,,,215.19,192.28,unknown,150.82,0.28,0.00,0.00,0.00,0.27,65.74,64.38,,,1.32,1.30,13.81,80.42,18.68,61.74,14.03,0.00,44.18,,
bv-picorv32_mutAX_nomem-p5.smt2,,,,,,,3,2,,25,,,2,29,,27,24,3,,,24,,,,,230.29,199.30,unknown,149.42,0.41,0.00,0.01,0.00,0.39,96.92,95.31,,,1.36,1.33,14.07,112.28,23.18,89.10,14.38,0.00,69.07,,
bv-picorv32_mutAY_nomem-p1.smt2,,,,,,,3,2,,3,,1,,4,,5,2,,,,2,,,,,57.25,50.01,unknown,11.37,0.00,,0.00,0.00,0.00,0.57,0.46,,,0.18,0.17,5.50,0.58,0.42,0.16,5.66,0.00,0.04,,
bv-picorv32_mutAY_nomem-p4.smt2,,,,,,,3,2,,4,,1,,5,,6,3,,,,3,,,,,56.07,48.53,unknown,6.62,0.01,,0.00,,0.01,0.77,0.64,,,0.14,0.13,2.49,0.79,0.48,0.30,2.56,0.00,0.16,,
bv-picorv32_mutAY_nomem-p6.smt2,,,,,,,3,3,,4,,1,,5,,6,3,,,,4,,,,,53.66,46.25,unknown,1.09,0.01,,,,0.01,0.77,0.63,,,0.15,0.15,0.03,0.83,0.50,0.32,0.03,,0.08,,
bv-picorv32_mutBX_nomem-p0.smt2,,,,,,,3,3,,44,,1,1,24,,46,44,3,,,43,,,,,310.62,278.91,unknown,369.39,0.82,0.01,0.03,0.01,0.77,327.92,324.98,,,1.38,1.35,37.78,367.67,25.11,342.55,38.36,0.02,295.98,,
bv-picorv32_mutBX_nomem-p5.smt2,,,,,,,3,3,,43,,,2,26,,45,43,2,,,43,,,,,235.00,199.59,unknown,200.72,0.75,0.00,0.01,0.00,0.72,141.36,138.65,,,1.30,1.27,55.55,199.08,23.83,175.24,56.19,0.01,107.57,,
bv-picorv32_mutBX_nomem-p8.smt2,,,,,,,3,2,,21,,1,12,22,,23,21,,,,20,,,,,291.35,256.23,unknown,395.80,0.36,0.00,0.01,0.00,0.34,73.71,72.21,,,1.40,1.37,3.82,78.64,18.77,59.86,4.09,0.00,51.44,,
bv-picorv32_mutBY_nomem-p1.smt2,,,,,,,3,3,,6,,1,,4,,8,5,,,,6,,,,,55.78,48.54,unknown,3.64,0.02,,,,0.02,2.28,2.13,,,0.15,0.15,1.02,3.38,0.48,2.88,1.05,,0.60,,
bv-picorv32_mutBY_nomem-p3.smt2,,,,,,,4,4,,32,,2,,50,,35,30,15,,,32,,,,,59.87,52.63,unknown,18.30,0.13,0.00,0.01,0.00,0.11,9.49,8.98,,,0.14,0.14,7.97,18.05,3.34,14.70,8.24,0.01,3.46,,
bv-picorv32_mutBY_nomem-p4.smt2,,,,,,,3,2,,4,,1,,5,,6,3,,,,3,,,,,56.04,48.99,unknown,5.11,0.01,,0.00,,0.01,0.56,0.46,,,0.15,0.15,1.60,0.58,0.34,0.24,1.65,,0.12,,
bv-picorv32_mutBY_nomem-p6.smt2,,,,,,,3,2,,4,,1,,5,,6,3,,,,3,,,,,55.28,48.36,unknown,3.25,0.01,,,,0.01,0.88,0.77,,,0.15,0.14,0.75,0.90,0.66,0.23,0.78,,0.11,,
bv-picorv32_mutBY_nomem-p7.smt2,,,,,,,3,3,,3,,1,,4,,5,2,,,,3,,,,,53.53,46.97,unknown,1.08,0.00,,,,0.00,0.66,0.55,,,0.16,0.15,0.12,0.81,0.40,0.40,0.13,,0.12,,
bv-picorv32_mutCX_nomem-p0.smt2,,,,,,,6,5,,41,,7,4,101,1,45,40,32,,,40,,,,,270.93,236.04,unknown,255.59,0.73,0.00,0.02,0.00,0.69,149.34,145.84,,0.00,1.42,1.39,17.10,169.10,38.98,130.11,17.63,0.01,105.25,,
bv-picorv32_mutCX_nomem-p8.smt2,,,,,,,3,2,,23,,,,36,,25,22,12,,,22,,,,,207.28,187.44,unknown,94.83,0.37,0.00,0.01,0.00,0.35,78.71,77.15,,,1.36,1.33,8.18,88.04,14.25,73.79,8.47,0.00,60.70,,
bv-picorv32_mutCY_nomem-p0.smt2,,,,,,,3,3,,10,,1,,4,,12,9,,,,10,,,,,57.54,49.43,unknown,6.24,0.03,,,,0.03,2.82,2.60,,,0.16,0.15,3.01,5.97,0.40,5.57,3.08,,1.16,,
bv-picorv32_mutCY_nomem-p3.smt2,,,,,,,3,3,,10,,1,,4,,12,9,,,,10,,,,,57.10,49.68,unknown,6.32,0.03,,,,0.03,3.60,3.40,,,0.18,0.17,2.30,6.04,0.54,5.49,2.37,,1.25,,
bv-ponylink-slaveTXlen-unsat.smt2,,,,,,,231,230,,239,,457,6,691,,697,35,,,,466,,,,,288.53,288.53,timeout,899.96,4.84,0.03,0.13,0.03,4.59,44.65,39.92,,0.01,0.20,0.19,1.84,55.83,10.23,44.85,2.68,0.51,24.40,,
bv-qspiflash_dualflexpress_divfive-p007.smt2,,2,7,,11,,40,39,6,907,,3042,148,19109,150,1347,1251,11399,,3,1324,,306,34,,431.94,394.92,timeout,899.99,16.40,1.27,10.94,0.68,3.37,800.67,575.24,,6.21,0.02,0.02,17.87,875.65,306.20,569.30,22.38,17.31,427.76,0.68,
bv-qspiflash_dualflexpress_divfive-p009.smt2,,45,,,,,49,48,4,770,,1937,164,16387,137,1333,1371,9241,,15,1421,,189,79,,441.67,386.87,timeout,899.99,10.54,0.69,6.70,0.52,2.19,773.70,608.66,,6.06,0.02,0.02,20.53,850.08,302.38,547.52,25.22,18.19,413.26,1.15,
bv-qspiflash_dualflexpress_divfive-p016.smt2,,,,,,3,3,3,,15,,6,3,28,,20,16,6,,,16,,,,,25.21,15.08,unsat,0.24,0.01,,0.00,,0.00,0.11,0.08,,,0.02,0.02,0.01,0.16,0.03,0.12,0.02,0.00,0.05,,
bv-qspiflash_dualflexpress_divfive-p022.smt2,,,,,,6,7,7,,21,,5,9,53,2,33,23,22,,,27,,,,,25.55,15.87,unsat,0.38,0.01,,0.00,0.00,0.01,0.19,0.14,,,0.02,0.02,0.02,0.29,0.06,0.22,0.04,0.00,0.08,,
